0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,class
0.0817777778,0.0277777778,0.1331987891,0.206205813,0.2685243825,0.3104936606,0.3861950941,0.4392411143,0.338516215,0.294008294,0.1263292216,0.0820139329,0.3857461024,0.4397476341,0.5077740997,0.654386322,0.6965081339,0.7435844156,0.8271617926,0.849422089,0.9594224283,0.9834372764,0.8620873269,0.6212886924,0.4945696721,0.4483047802,0.6579651941,0.8390767922,0.8186891234,0.5698306168,0.2252512418,0.2644349584,0.2505003687,0.1586371528,0.1250894958,0.07845135,0.058714192,0.0471040865,0.0551338815,0.1557734205,0.2267515924,0.2648351648,0.1156588328,0.1952844012,0.2820549513,0.2424659419,0.1906771885,0.1082474227,0.1448979592,0.1009055627,0.0301507538,0.0641940086,0.0769230769,0.015625,0.0189189189,0.0915750916,0.0711297071,0.1855345912,0.0688705234,0.1062355658,0
0.048,0.0387596899,0.0201816347,0.0754124116,0.0877137429,0.1159967629,0.086993725,0.2065321806,0.1383088997,0.1611611612,0.1145611796,0.1550031666,0.2509279881,0.3924290221,0.3205938409,0.2606350499,0.3723966428,0.6292987013,0.712918157,0.8579837329,0.9656408094,0.9843574277,0.9446219382,0.7932196252,0.6755122951,0.4172756679,0.2291387773,0.0248883216,0.393161526,0.1844039629,0.1045396789,0.093349809,0.1274623407,0.2083333333,0.2317684361,0.35292919,0.3314017057,0.1254029323,0.0651486401,0.1058823529,0.0790966995,0.0956043956,0.1626617375,0.0751298788,0.0904407556,0.0877941379,0.2071939805,0.197392359,0.0668367347,0.3363518758,0.1658291457,0.239657632,0.391025641,0.228125,0.2486486486,0.0549450549,0.2343096234,0.1729559748,0.1597796143,0.0600461894,1
0.3457777778,0.2648578811,0.2179616549,0.3087195601,0.1114629512,0.2964661451,0.5074158585,0.3405379443,0.110025174,0.2662662663,0.2864029491,0.4415769474,0.5573867854,0.6027760252,0.5859163407,0.6562181966,0.732359341,0.7928311688,0.8375762676,0.7794306507,0.8739460371,0.8347817197,0.7712460064,0.8398610234,0.7370901639,0.5726608362,0.4995537706,0.310678579,0.3068181818,0.2911473314,0.1219822109,0.0705459447,0.2803118087,0.3916015625,0.4151580239,0.4435048395,0.3666083534,0.3491733389,0.3655913978,0.3678649237,0.4655471917,0.5139194139,0.3558225508,0.3400825896,0.3361476817,0.0473372781,0.1343365755,0.1516070346,0.0795918367,0.0763260026,0.2140703518,0.0527817404,0.4198717949,0.30625,0.127027027,0.5897435897,0.5774058577,0.2327044025,0.6749311295,0.4434180139,0
0.2088888889,0.2177002584,0.061049445,0.0840534171,0.0465484484,0.0598867008,0.1232173417,0.3126801153,0.2618095661,0.3204633205,0.3446760244,0.3492716909,0.2198960653,0.0079495268,0.1274952352,0.1573376756,0.1894104238,0.2909090909,0.3387334315,0.4169520548,0.5467959528,0.7338717923,0.7936102236,0.8775531691,0.9418032787,1,0.9302766622,0.7450542438,0.7080965909,0.8250772345,0.7649301144,0.4676477196,0.1272516591,0.1213107639,0.1450342641,0.1715741212,0.2519134048,0.1382967661,0.0619860848,0.0709150327,0.0563983787,0.2466422466,0.3097438606,0.2140668709,0.1993417287,0.1988440897,0.1684712791,0,0.0678571429,0.1423027167,0.1728643216,0.1968616262,0.3974358974,0.1,0.0891891892,0.2087912088,0.1548117155,0.1037735849,0.1652892562,0.2517321016,0
0.568,0.3546511628,0.4172552977,0.1233307148,0.1238125396,0.1766927435,0.1563034797,0.2478386167,0.3373315563,0.2466752467,0.3658017865,0.616371121,0.5141796585,0.2158990536,0.2817734978,0.3945654386,0.5686457362,0.6667012987,0.5882600463,0.4497003425,0.288153457,0.1834168285,0.1567625133,0.1246578227,0.2299180328,0.1297472146,0.2173136992,0.4315039353,0.6946022727,0.7309044423,0.8035116091,0.8511570434,0.6539555462,0.7064887153,0.7381609901,0.8134488029,0.9360376121,1,0.8836179633,0.7564270153,0.746149392,0.7133089133,0.5887245841,0.4507792727,0.2069261591,0.1638915646,0.2262800514,0.350818678,0.2841836735,0.2962483829,0.1266331658,0.1897289586,0.5929487179,0.0875,0.0810810811,0.0805860806,0.0878661088,0.5,0.2975206612,0.168591224,1
0.2577777778,0.145994832,0.0766902119,0.1653574234,0.2644078531,0.2538440788,0.2284654877,0.2668107589,0.1726640012,0.2030602031,0.2607401106,0.3641545282,0.3714922049,0.3192429022,0.1860768382,0.1346427844,0.1876489483,0.2121558442,0.2624658111,0.2873501712,0.3450674536,0.3820672733,0.4922257721,0.6749842072,0.781557377,0.8007667425,0.9106425703,1,0.8975243506,0.6224565889,0.5737553425,0.4438328466,0.2622985358,0.2021484375,0.1680474583,0.0750891493,0.1616006998,0.1414162421,0.2193759224,0.2494553377,0.2499131442,0.3819291819,0.2014787431,0.0559477821,0.163136806,0.2487959268,0.331253441,0.3253486962,0.1474489796,0.1772315653,0.1296482412,0.1426533524,0.1826923077,0.090625,0.1783783784,0.010989011,0.2133891213,0.1006289308,0,0.1131639723,0
0.1573333333,0.0503875969,0.156407669,0.0710919089,0.2343255225,0.381170758,0.2655447804,0.1224783862,0.1839182586,0.1797511798,0.0785481355,0.0052248258,0.1588715664,0.3499053628,0.557026783,0.7949318136,0.828100715,0.7981298701,0.8544077425,0.8682577055,0.9381323777,0.9389632962,0.9370607029,1,0.9718237705,0.9172157661,0.927599286,0.714635184,0.4339488636,0.28028124,0.3651380386,0.4725904291,0.3712208996,0.2787543403,0.2287000102,0.1184921039,0.2394489394,0.1946552979,0.1293485136,0.1490196078,0.0561667632,0.0626373626,0.0918933193,0.134141468,0.1584144247,0.0749965598,0.0647825289,0.1164342025,0.1091836735,0,0.1798994975,0.1697574893,0.2435897436,0.1625,0.1,0.2234432234,0.1924686192,0.1603773585,0.1983471074,0.1108545035,1
0.0977777778,0.0122739018,0.0181634712,0.0907305577,0.1564281191,0.2193148098,0.230462065,0.1885206532,0.2252332297,0.2566852567,0.1824755423,0.1386953768,0.1504083148,0.1136908517,0.1388303742,0.2089354773,0.2392498187,0.2429090909,0.3543025458,0.5416309932,0.662415683,0.8718944893,1,0.88923984,0.8381147541,0.9010422906,0.9226907631,0.8989576686,0.820211039,0.6789176521,0.5580455123,0.5077510672,0.4272621932,0.5130208333,0.5571238621,0.5195109526,0.5240542314,0.3492773214,0.2014547755,0.117211329,0.0843080486,0.0457875458,0.1202799049,0.0436925536,0,0.0616485482,0.0614791705,0.0755003032,0.087244898,0.1138421734,0.016080402,0.0413694722,0.2532051282,0.271875,0.2432432432,0.0732600733,0.1422594142,0.0786163522,0.0798898072,0.0554272517,1
0.2382222222,0.2273901809,0.12209889,0.0015710919,0.019949335,0.1338009172,0.1916714204,0.2423150817,0.1329779357,0.0912340912,0.0338862895,0.1540531982,0.2344469191,0.2228391167,0.2704383589,0.2197231834,0.2411149104,0.2658701299,0.2946560067,0.455265411,0.5153878583,0.6173192925,0.6619808307,0.7396293957,0.8467213115,0.8727686594,0.9919678715,0.9078919379,0.7037337662,0.6077554064,0.5921219822,0.4756234554,0.2412303803,0.1399739583,0.1474890048,0.2420784513,0.260660398,0.2938546324,0.2480497575,0.1920479303,0.1380428489,0.3010989011,0.2590440982,0.2059411216,0.2042072124,0.0902710885,0.1868232703,0.2662219527,0.1918367347,0.1125485123,0.0673366834,0.0813124108,0.2147435897,0.290625,0.1216216216,0.358974359,0.1589958159,0.1635220126,0.1349862259,0.1870669746,1
0.0275555556,0.1556847545,0.1039354188,0.1975648075,0.2751741609,0.2778527111,0.1377638334,0.2156580211,0.2366355694,0.2496782497,0.3107897349,0.392020266,0.4083147736,0.29829653,0.1854749724,0.1265011195,0.1739716092,0.2325194805,0.2402693036,0.287885274,0.3497048904,0.3868725079,0.4796592119,0.6694040851,0.7428278689,0.7415838026,0.8907853637,1,0.8871753247,0.6283157558,0.5871549035,0.4559649517,0.2571368377,0.1408420139,0.129385292,0.06276108,0.1551497923,0.1038785484,0.2143158339,0.210130719,0.1864504922,0.3323565324,0.1608133087,0.0572798721,0.0884373211,0.2256777212,0.3182235273,0.3650697392,0.2525510204,0.0491591203,0.1768844221,0.0912981455,0.1602564103,0.184375,0.1675675676,0.293040293,0.1422594142,0.0660377358,0.0909090909,0.0023094688,0
