0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,class
0.6312058471,0.8280250396,0.6329420352,0.821655087,0.6299856886,0.8248469423,0.6314509435,0.8285722122,0.6252999707,0.8285722122,0.6318355417,0.8069666977,0.6650032072,0.7420375593,0.6549954763,0.6538498816,0.6421288824,0.5480802514,0.6179492278,0.4376984017,0.6056657073,0.3224794202,0.6318402202,0.1893621907,0.6804577182,0.0508004713,0.6826060471,0.0233281493,0.6659543033,0.0969904498,0.6557744315,0.1717236364,0.6504608742,0.2423330974,0.6375033928,0.3010403898,0.6292486704,0.362665612,0.6103511911,0.4301131877,0.6174087412,0.5195707653,0.6397921577,0.5871908005,0.6503624677,0.6451542976,0.6674772998,0.7122233963,0.6732229553,0.8000062837,0.6911692031,0.7979524507,0.6909537294,0.7870929082,0.687819024,0.7421344346,0.6583551436,0.6833823111,0.6583551436,0.6158783274,0.6421556826,0.5384572782,0.6346201168,0.4752420194,0.6181366579,0.3986543682,0.6014585961,0.2959180675,0.5972201778,0.1972816105,0.5909130432,0.1346763636,0.5995647033,0.1206303057,0.5983278532,0.1544483937,0.5828109574,0.2460368707,0.5705212976,0.3829103108,0.5665212196,0.4683525614,0.5674488427,0.5496891493,0.5705450403,0.6215405024,0.575765425,0.6696486658,0.5790535218,0.6601658438,0
0.6808526241,0.8662447548,0.6799951341,0.869422852,0.6815043697,0.8662447548,0.6854444482,0.8666703238,0.6791554569,0.8666703238,0.6769657747,0.8670913764,0.7071969211,0.8662447548,0.7099909526,0.8685875691,0.7081184637,0.8621768689,0.7000066282,0.8594280509,0.6958746402,0.8664462112,0.706470157,0.8737585395,0.731040622,0.6978654099,0.719571653,0.8566758827,0.7155151858,0.8494935922,0.7189517233,0.84176,0.729172102,0.8361789337,0.7174966718,0.8235223774,0.7075672903,0.8204164829,0.7002690633,0.8172119598,0.7124051945,0.8113950128,0.7254424462,0.7935954002,0.7359389714,0.7921124754,0.7354399755,0.7877610641,0.7248213365,0.7890883956,0.7132303559,0.7294542334,0.7035151074,0.6806532978,0.7081184637,0.6572297995,0.7032347898,0.6395054372,0.7132137746,0.6349273832,0.7058808622,0.6249948077,0.7091377283,0.6270548482,0.7088273508,0.6148749234,0.7101539768,0.5884418714,0.7152800466,0.5612225406,0.7136297302,0.5589236364,0.7259025874,0.5365004046,0.7301310894,0.4371697108,0.7274630829,0.4259219683,0.7115802191,0.4968297238,0.6888365235,0.4873414347,0.6809448108,0.4906852131,0.6825800334,0.4830741992,0.6808161748,0.4494058716,0.6778659539,0.4066830882,0
0.3475152167,0.5063630735,0.3458792044,0.5095549288,0.3466026729,0.5095549288,0.349759948,0.5111153778,0.3466026729,0.5142833633,0.3491667792,0.5126592661,0.3597947402,0.5159248813,0.3525009694,0.5224374507,0.3451823275,0.5224374507,0.3384635779,0.5271620614,0.3376239207,0.5374657004,0.3557236004,0.548165796,0.4091926346,0.4438515028,0.4130459704,0.5533379414,0.4094811929,0.5518327482,0.4117607305,0.5454545455,0.4004686531,0.5358427695,0.3550000646,0.5363239559,0.3185389163,0.5422491292,0.2806570217,0.4982116037,0.3060648224,0.4910986071,0.3425620857,0.5836241487,0.3594149955,0.5698868123,0.3665015284,0.5719324963,0.3439815862,0.5890946793,0.3308792782,0.5684908201,0.3190875789,0.5451580986,0.312180976,0.5471662229,0.3042301097,0.5172460491,0.3067313023,0.5142833633,0.2941191378,0.5128144774,0.288466175,0.5280514407,0.2792372604,0.5506728159,0.2922686914,0.4523774539,0.3055590461,0.5102049813,0.2977277908,0.5589236364,0.3426156769,0.5460317896,0.349377001,0.4685857036,0.3333386081,0.4867674739,0.3115758654,0.6170924233,0.2961406055,0.5537956557,0.2612466401,0.636638788,0.2842310077,0.6061612653,0.2929284489,0.5952444014,0.2924862295,0.5654512571,0
0.4609988022,0.4203755933,0.4564685846,0.4235674486,0.4590235787,0.4203755933,0.4624436278,0.4190517986,0.4566746659,0.4222197841,0.4631896943,0.420886422,0.4789095574,0.4267455458,0.4750032312,0.4294892209,0.4720833497,0.4198662476,0.4666666667,0.4185276175,0.4664881143,0.4234573982,0.4825803465,0.435214421,0.5172399039,0.3529350613,0.510871642,0.4633373654,0.5064636394,0.4080302833,0.5097987315,0.4478109091,0.5023133466,0.4709984666,0.4775039098,0.4463661096,0.4569261089,0.4436500814,0.4305154465,0.4480281189,0.4432667649,0.4733111952,0.4508718697,0.3843374791,0.4767698346,0.4874502578,0.4975706104,0.4676156141,0.4889448372,0.4799943447,0.475486904,0.4520586451,0.449741498,0.4225811396,0.4390819982,0.433964571,0.4314170416,0.3793182834,0.436406534,0.4222197841,0.4460762573,0.4166678205,0.4591383497,0.4257403157,0.451068361,0.4324411104,0.4396143712,0.4285735277,0.4513836282,0.4183674969,0.4499956525,0.4579054545,0.488216435,0.4476185252,0.5,0.3821973779,0.4905635244,0.3915335147,0.4652604311,0.4810125198,0.4291841541,0.506330308,0.4111317271,0.4689377413,0.4232423538,0.4923123753,0.4343469369,0.550591557,0.4446641184,0.4986059351,0
0.2576816837,0.4267455458,0.2564685846,0.4267455458,0.2576103565,0.4267455458,0.2605596198,0.4317511691,0.2599592694,0.4285694694,0.2612886984,0.4303740362,0.2679923028,0.4331154984,0.2625048468,0.4358999211,0.2538151662,0.4390983482,0.2461589448,0.4472906948,0.2396866006,0.4592837543,0.2587033965,0.4750846777,0.3172377646,0.3823549796,0.3282577275,0.4766718507,0.3254349391,0.4782627541,0.3246145892,0.4781236364,0.3078749524,0.4778249587,0.2624953147,0.4740500463,0.2323776356,0.4753502381,0.2016425543,0.4767043959,0.2269192994,0.4910986071,0.2644779851,0.4982243608,0.2860619008,0.5232956041,0.2936825832,0.5467584535,0.2800996908,0.5818213237,0.2769618713,0.5753406418,0.2638149178,0.5645145557,0.2715689748,0.5723251644,0.2892745252,0.5956150211,0.3142090945,0.6253959982,0.3333248856,0.6602605818,0.3581741942,0.6963743424,0.3794782386,0.7364926005,0.4033867403,0.7653109204,0.4537053326,0.7925207553,0.4840940656,0.8417454545,0.54175394,0.8412715828,0.5857813446,0.7146550291,0.6142537729,0.7248695147,0.6315815252,0.8702497122,0.6373365108,0.8765791593,0.6531022084,0.8819787114,0.6784290002,0.8799967567,0.6929317912,0.8392857602,0.6936722648,0.7771541823,0
0.4846366325,0.9426704272,0.4799951341,0.9426704272,0.4824400603,0.9458622825,0.4859148434,0.9460345324,0.4824400603,0.9492025179,0.4845574781,0.9493629354,0.4937908916,0.9617802848,0.459997415,0.967946499,0.4137044181,0.967946499,0.3384635779,0.968048693,0.2757701738,0.9674241891,0.2661753926,0.9701044836,0.3172377646,0.7165777254,0.3456559512,0.840000576,0.3900824752,0.7959920824,0.4466214397,0.76768,0.497693834,0.7884082331,0.5300055578,0.8546742802,0.5587457142,0.8591442175,0.5694845535,0.8172119598,0.5989387243,0.7544506964,0.6070530935,0.66903931,0.5696778557,0.5985630894,0.5121394189,0.5755376678,0.444714024,0.5963680349,0.3995083442,0.5856227716,0.3417032553,0.551610251,0.3197916257,0.5062897354,0.3316658716,0.4420053356,0.3790467104,0.3841353868,0.4313645982,0.365382219,0.4855724658,0.3894409672,0.5346025095,0.4155404419,0.5724615058,0.4081638651,0.6157339758,0.3605466167,0.6181847236,0.3198690909,0.6167020188,0.2857084082,0.5836830492,0.2356007206,0.5241090308,0.2486768617,0.4526347869,0.3227857965,0.3905535974,0.3259428475,0.3768681667,0.3105608728,0.4170104409,0.2830776552,0.4626306345,0.2470216437,0.5000015326,0.2172659481,0
0.7423183163,0.5318428837,0.7388236725,0.5318428837,0.7377087687,0.5286647864,0.7417802201,0.5333324191,0.7377087687,0.5333324191,0.7458461765,0.5379777984,0.7692238614,0.5159248813,0.7624919219,0.499993077,0.7436523245,0.4967946499,0.7230728442,0.5335523229,0.7242298262,0.5179202139,0.7512378307,0.504980194,0.7678130619,0.4224593989,0.7630447341,0.5733396694,0.7521621604,0.5418057301,0.7712371553,0.5151563636,0.7731532122,0.5119574192,0.747495767,0.5536338904,0.7310682757,0.5633774965,0.7030019581,0.5232956041,0.7361406668,0.5195707653,0.727955827,0.5160114994,0.7408308632,0.5806481582,0.737861836,0.5755376678,0.72972458,0.5490990779,0.7303876224,0.5137070407,0.7160764854,0.5258016416,0.7157291134,0.5188692061,0.7057359824,0.4890375526,0.7206915669,0.4825486512,0.7083264696,0.5096160503,0.7139473207,0.5379460785,0.7088273508,0.5033859716,0.7270627021,0.4863935582,0.7222212249,0.4932040262,0.7227242071,0.5589236364,0.732334616,0.5396821043,0.7301310894,0.4397933646,0.7274630829,0.4576704308,0.7136808651,0.5917739603,0.6845430067,0.5886017545,0.678797111,0.5838464985,0.6784290002,0.6030774425,0.6848477506,0.6220258223,0.6778659539,0.5793858894,0
0.8770686157,0.4936231685,0.8705918132,0.4936231685,0.8641747204,0.4936231685,0.8638451045,0.4952343075,0.8571521974,0.4952343075,0.8598568113,0.496828348,0.8833739577,0.499993121,0.8724957994,0.5064037772,0.8654883282,0.5064037772,0.8512891894,0.5079912772,0.8376239207,0.514655597,0.8283498592,0.5282306677,0.8298888388,0.4251276365,0.7978299425,0.5266689707,0.7737113391,0.5284267406,0.755986299,0.5286254545,0.7476860551,0.5290162774,0.7124946684,0.5259499537,0.6788558624,0.5281635509,0.6375956161,0.534041466,0.6226878376,0.5444762168,0.6171196395,0.540916568,0.6039084572,0.5483796045,0.5849458156,0.5575428891,0.5503624081,0.5709034356,0.5196092097,0.5410915331,0.4824114728,0.5096782285,0.461927069,0.4968619247,0.4413960265,0.4953076121,0.4289287418,0.501597707,0.4093034454,0.5064176232,0.3990370873,0.5181568029,0.3770844978,0.5236580169,0.3526605642,0.5204096626,0.3541592617,0.5034016604,0.3363616923,0.5218909091,0.3554575929,0.5206330485,0.3514644804,0.4397933646,0.329144065,0.44708761,0.2968386911,0.5474666499,0.2510753207,0.5569673033,0.2312674085,0.5776348518,0.2468931608,0.5784600293,0.2484871146,0.5595272687,0.2411029474,0.5236714267,0
0.5673812608,0.9777120451,0.5647101758,0.9808901424,0.5573752231,0.9808901424,0.551643956,0.9777829587,0.5128790649,0.9650835882,0.4584372045,0.9462049543,0.4193457344,0.9140125198,0.38000517,0.8910180967,0.3553386083,0.8493554685,0.3205143501,0.8019156982,0.3041253598,0.7459368184,0.3432874211,0.6943567369,0.4482707802,0.5187123155,0.5195707539,0.639997696,0.5775848429,0.6588646642,0.6361645786,0.6767709091,0.6990734646,0.6860108516,0.7224986752,0.6712756734,0.7232391134,0.6197198096,0.7002690633,0.5376337426,0.6886560812,0.4768625281,0.6700178411,0.4341629898,0.6381390587,0.4050137033,0.5873802246,0.3884883143,0.5135118656,0.3927297862,0.441172371,0.3938425577,0.3618118521,0.3838682256,0.3045703263,0.3899364234,0.2593504635,0.3887166014,0.2344158942,0.3619046313,0.2328395656,0.3076997632,0.274037398,0.257417414,0.3269640088,0.2128345836,0.3816451665,0.1836722699,0.4560150695,0.1700683271,0.5045390134,0.2087563636,0.5674488427,0.2507919964,0.606699403,0.2486850632,0.6226428591,0.2592596825,0.6147328207,0.3006389768,0.5772494644,0.2784774998,0.535332982,0.2701784607,0.5124520271,0.2615440648,0.4868723118,0.2291630774,0.458498472,0.194980163,0
0.910166467,0.404457591,0.9058816374,0.4076356882,0.9063340735,0.404457591,0.913141939,0.4031707284,0.9086708786,0.4031707284,0.9192445138,0.4050555039,0.9379602309,0.404457591,0.8875016156,0.3974357199,0.8147200462,0.3814158924,0.7307748393,0.3738095895,0.6443342927,0.3811158798,0.5696464627,0.3986738619,0.528732777,0.3288747199,0.4543498931,0.420007488,0.3943945394,0.4314362909,0.3638342951,0.4309818182,0.3611190231,0.4368660061,0.3699931497,0.422150139,0.4282011825,0.419007925,0.5040922986,0.4157750492,0.6174087412,0.427051625,0.7254424462,0.4234937814,0.8141839579,0.4301131877,0.8907778564,0.4496363749,0.9484016188,0.4763655215,0.9852883409,0.4623259805,0.9949728508,0.4419375967,0.9746224199,0.4308129109,0.9027371298,0.4263369581,0.8354112141,0.4127021134,0.7426410026,0.4038464201,0.6562446405,0.4092445002,0.5680161689,0.4189264135,0.4806748505,0.4183760433,0.4166657691,0.4149731835,0.3522711517,0.4444363636,0.3426156769,0.4571361959,0.3389179718,0.3874333767,0.350105942,0.407407746,0.3705245629,0.5000013671,0.399140631,0.5094882847,0.4646692321,0.5279416776,0.5435686873,0.5384633789,0.6101069308,0.5208272798,0.6679857324,0.490242749,0
