0,1,2,3,4,5,6,7,8,9,class
0.0161290323,0.0688405797,0.0015765422,0.0157218161,0.2647679325,0.7217484009,0.0001170771,0.0019388064,0.003598838,0.0137028963,0
0.0096774194,0.0344202899,0.0005069937,0.0120897933,0.3544303797,0.9200426439,8.28E-005,0.0007270524,0.001452543,0.0065400187,0
0.0258064516,0.0307971014,0.0010764935,0.0048257477,0.1993670886,0.9797441365,8.88E-005,0.0009694032,0.0032953215,0.008097166,0
0.0258064516,0.1032608696,0.0035767366,0.0155862206,0.1592827004,0.5,6.86E-005,0.0029990912,0.0058535316,0.024291498,0
0.0193548387,0.0579710145,0.0015557068,0.0113972876,0.305907173,0.8379530917,0.0001978199,0.0021811572,0.0040974721,0.012145749,0
0.0129032258,0.0289855072,0.0005417193,0.0082156356,0.3670886076,0.9626865672,6.26E-005,0.000817934,0.001625981,0.0077857365,0
0.0193548387,0.2518115942,0.0067576014,0.0484100215,0.2120253165,0.8784648188,9.89E-005,0.0073008179,0.018666262,0.0516972906,0
0.0258064516,0.0326086957,0.0011389996,0.0050945173,0.5991561181,0.8251599147,0.001326201,0.0029990912,0.0029484456,0.004048583,0
0.0096774194,0.0416666667,0.0006181157,0.0145111418,0.5495780591,0.9552238806,0.0002099314,0.0014541048,0.0018427785,0.008097166,0
0.0096774194,0.0018115942,6.95E-006,0.0011937248,0.8681434599,0.8667377399,0.0012111425,0,0,0,1
0.0290322581,0.134057971,0.0051602239,0.0181431647,0.4208860759,0.8507462687,0.000371417,0.0100272645,0.0138316784,0.0367486764,0
0.0258064516,0.2663043478,0.0092022836,0.039799706,0.1497890295,0.6641791045,7.47E-005,0.0076037564,0.0196201708,0.0585487387,0
0.0032258065,0.0416666667,0.0002847499,0.0290392331,0.3185654008,1,0.000484457,0.0003029385,0.0008888696,0.0012457178,0
0.0129032258,0.1032608696,0.0019654689,0.0280706937,0.1561181435,0.7281449893,8.28E-005,0.0015449864,0.0045310671,0.0124571784,0
0.0032258065,0.0362318841,0.0002430792,0.0254072103,0.4219409283,1,0.0010758983,0.0003635262,0.0007587911,0.0006228589,0
0.0258064516,0.1467391304,0.0050768825,0.0220439572,0.2056962025,0.9307036247,0.0002200242,0.0053014238,0.0148072671,0.0267829337,0
0.5967741935,0.847826087,0.605801953,0.0060896916,0.3438818565,0.4978678038,0.0042975373,1,1,0.4609156026,1
0.0193548387,0.0307971014,0.0008264692,0.0062083377,0.1962025316,0.6950959488,3.03E-005,0.0006967586,0.001799419,0.0077857365,0
0.0193548387,0.0199275362,0.0005347742,0.004133242,0.385021097,0.7206823028,0.00016956,0.0008482278,0.0011923861,0.0056057303,0
0.0290322581,0.1757246377,0.0067576014,0.0237122663,0.3417721519,0.8518123667,0.0002220428,0.01093608,0.0181459481,0.0541887263,0
0.035483871,0.4710144928,0.021703499,0.0526473814,0.1635021097,0.5351812367,0.0001635042,0.0194486519,0.0381780341,0.1111803177,0
0.0258064516,0.0869565217,0.0030141819,0.013164872,0.2320675105,0.7771855011,7.67E-005,0.0034232051,0.0074144734,0.0267829337,0
0.0225806452,0.0778985507,0.0023960663,0.0133004676,0.4251054852,0.9456289979,0.0004440856,0.0046349591,0.0070892772,0.0152600436,0
0.0193548387,0.0307971014,0.0008264692,0.0062083377,0.2299578059,0.8731343284,7.27E-005,0.000817934,0.0022546937,0.0074743071,0
0.0258064516,0.0072463768,0.0002639145,0.0013293204,0.4377637131,0.526652452,0.0019176423,0.0004241139,0.0003902354,0.0003114295,0
0,0.0253623188,5.56E-005,0.0363032787,0.8597046414,1,0.002422285,0.0001817631,0.000173438,0,0
0.0290322581,0.3949275362,0.0151611962,0.0530105837,0.1065400844,0.5746268657,4.84E-005,0.0099060891,0.0284004683,0.0837745251,0
0.0290322581,0.0144927536,0.0005764449,0.0021622643,0.2964135021,0.8699360341,0.0003027856,0.0006967586,0.0015609418,0.0034257241,0
0.0225806452,0.0815217391,0.0025071882,0.0139058047,0.3037974684,0.5852878465,0.0001594671,0.0035746743,0.0047261848,0.0214886328,0
0.0193548387,0.0326086957,0.0008750851,0.0065545905,0.3101265823,1,8.88E-005,0.0011814602,0.0027316481,0.0096543133,0
0.0258064516,0.1992753623,0.0068895587,0.0298455422,0.1751054852,0.7974413646,0.0001413,0.0063920024,0.0173871569,0.0395515416,0
0.0225806452,0.1141304348,0.0035072854,0.0193538389,0.2109704641,0.8560767591,0.00012717,0.0036958497,0.0094523696,0.024291498,0
