0,1,2,3,4,5,6,7,class
1,0.6827586207,0.6608695652,0.1504424779,0.2996281211,0.2683254876,0.2179065174,0.2476332835,0
1,0.6344827586,0.6869565217,0.1371681416,0.2852842217,0.2451244116,0.1942067149,0.2571001495,0
0,0.3586206897,0.347826087,0.0663716814,0.0571985125,0.0406859449,0.0447662936,0.0553064275,1
0,0.7172413793,0.6956521739,0.1725663717,0.4705153179,0.3083389375,0.4252797893,0.3423019432,0
1,0.6551724138,0.6782608696,0.1283185841,0.276607048,0.2041022192,0.2060566162,0.2625809666,0
0,0.8827586207,0.8608695652,0.1681415929,0.7092261378,0.7030934768,0.5352205398,0.5042351769,0
0,0.7034482759,0.7304347826,0.1327433628,0.3764830884,0.3567585743,0.2613561554,0.2859990035,0
0,0.8137931034,0.8173913043,0.1371681416,0.4800779175,0.3574310693,0.4002633311,0.4454409567,0
0,0.675862069,0.6260869565,0.110619469,0.2355232867,0.2024209818,0.202764977,0.18285999,0
1,0.1724137931,0.1565217391,0.0221238938,0.0115105366,0.0067249496,0.0092165899,0.0084703538,0
1,0.6413793103,0.6260869565,0.1371681416,0.2479192492,0.215870881,0.2192231731,0.1878425511,0
1,0.2827586207,0.2695652174,0.0575221239,0.0386045688,0.0279085407,0.0368663594,0.0284005979,0
0.5,0.7034482759,0.6956521739,0.1150442478,0.3093678059,0.2757229321,0.2712310731,0.2227204783,1
0,0.1103448276,0.0956521739,0.0353982301,0.0047812998,0.0036987223,0.0032916392,0.0034877927,0
1,0.4827586207,0.4956521739,0.0884955752,0.1237825394,0.1086079354,0.1073074391,0.0921773792,0
0.5,0.6275862069,0.6608695652,0.1504424779,0.2881175846,0.2000672495,0.2034233048,0.2725460887,0
0,0.8482758621,0.7826086957,0.1769911504,0.6622985656,0.599865501,0.5279789335,0.4768310912,0
1,0.4413793103,0.4347826087,0.092920354,0.0998760404,0.0756556826,0.077682686,0.0926756353,1
1,0.7034482759,0.7304347826,0.1415929204,0.3713476182,0.3221250841,0.3074391047,0.2825112108,0
1,0.5724137931,0.5739130435,0.1061946903,0.2086063396,0.1815736382,0.1474654378,0.1753861485,0
0.5,0.7931034483,0.7739130435,0.1504424779,0.4967239242,0.4660390047,0.418038183,0.3208769307,0
1,0.4137931034,0.3913043478,0.0707964602,0.0793341597,0.0699394755,0.0612244898,0.0632785252,0
0.5,0.6206896552,0.6695652174,0.110619469,0.2512838675,0.2148621385,0.2086899276,0.1893373194,0
0,0.7034482759,0.7043478261,0.1637168142,0.3258367275,0.2437794217,0.2797893351,0.2825112108,0
0,0.7586206897,0.8,0.1504424779,0.470692403,0.3843308675,0.3949967084,0.3582461385,0
0,0.6620689655,0.6782608696,0.1150442478,0.3047635913,0.2834566241,0.2034233048,0.2376681614,0
1,0.1172413793,0.1130434783,0.0309734513,0.0067292368,0.0043712172,0.0052666228,0.0034877927,0
0.5,0.7310344828,0.7217391304,0.1460176991,0.4163272534,0.4102219233,0.2988808427,0.2894867962,0
0,0.4896551724,0.5043478261,0.1017699115,0.1071365327,0.0615332885,0.0717577354,0.1180866966,0
1,0.7517241379,0.7217391304,0.1238938053,0.3026385692,0.2410894418,0.2100065833,0.2924763328,0
0.5,0.2965517241,0.2695652174,0.0663716814,0.0966885072,0.0753194351,0.0882159315,0.0333831589,0
0,0.6551724138,0.6869565217,0.1371681416,0.2789091553,0.2299932751,0.2086899276,0.2476332835,0
1,0.6620689655,0.6956521739,0.1504424779,0.2980343545,0.2071284465,0.250164582,0.2974588939,0
