0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,0,0.99,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980392157,0,0.13,0,0.87,1,0,1,0,1,0,0,1,0,0,0.12,0,0.88,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156862745,0,0,0,1,1,0.11,1,0,1,0,0,0.37,0,0,0,0,0.11,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09,0,0.91,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980392157,0,0.23,1,0.77,0,0,1,0,1,0,0,1,0,0,0.12,1,0.88,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980392157,0,0.13,0,0.87,1,0,1,0,1,0,0,1,0,0,0.2,0,0.8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.21,0,0.79,1,0,1,0,1,0,0,1,0,0,0.27,0,0.73,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9960784314,0,0.22,0,0.77,1,0,1,0,1,0,0,1,0,0,0.31,0,0.69,1,0
0,0.0005847953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062745098,0.1879699248,0,0,0,0,0.79,0.09,0,1,0.1219512195,0.1,0.56,0.49,0,0.05,0,0.46,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333333,0,0.01,0,0.93,1,0.01,1,0,1,0,0,0.3,0,0,0,0,0.26,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,0,0.92,1,0,1,0,1,0,0,1,0,0,0.02,0,0.98,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8019607843,0,0.07,0,0.9,1,0,1,0,1,0,0,1,0,0,0.08,0,0.91,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.14,0,0.86,1,0,1,0,1,0,0,1,0,0,0.15,0,0.85,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13,0,0.87,1,0,1,0,1,0,0,1,0,0,0.13,0,0.87,1,0
0,0.0736842105,0.0871894788,0,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0984251969,0.1219512195,1,0,0.04,0,0.08,0.08,0.92,0.92,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9960784314,0,0.09,0,0.91,1,0,1,0,1,0,0,1,0,0,0.12,0,0.88,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098039216,0,0,0,0.83,1,0.17,1,0,0.4842519685,0,0.01,0.16,0.01,0,0,0,0.06,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980392157,0,0.29,1,0.7,0,0,1,0,1,0,0,1,0,0,0.3,1,0.7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.06,0,0.93,1,0,1,0,1,0,0,1,0,0,0.09,0,0.91,1,0
0,0.0005847953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1137254902,0.0902255639,0,0,0,0,0.22,0.07,0,1,0.0585365854,0.05,0.23,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980392157,0,0.13,0,0.87,1,0,1,0,1,0,0,1,0,0,0.11,0,0.89,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,0,0.99,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23,0,0.77,1,0,1,0,1,0,0,1,0,0,0.15,0,0.85,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980392157,0,0.13,0,0.87,1,0,1,0,1,0,0,1,0,0,0.13,0,0.87,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12,0,0.88,1,0,1,0,1,0,0,1,0,0,0.11,0,0.89,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,0,0.85,1,0,1,0,1,0,0,1,0,0,0.15,0,0.85,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662745098,0,0.03,0,0.96,1,0,1,0,1,0,0,1,0,0,0.03,0,0.97,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0.9,1,0,1,0,1,0,0,1,0,0,0.01,0,0.99,1,0
0,0.0005847953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2607843137,0.7218045113,0,0,0,0,0.72,0.04,0,1,0.7073170732,0.57,0.05,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0.89,1,0,1,0,1,0,0,1,0,0,0.1,0,0.9,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,1,0.99,0,0,1,0,1,0,0,1,0,0,0.02,1,0.98,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9941176471,0,0.09,0,0.91,1,0,1,0,1,0,0,1,0,0,0.07,0,0.93,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24,0,0.76,1,0,1,0,1,0,0,1,0,0,0.36,0,0.64,1,0
0,0.0216374269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0118110236,0,0.25,0.75,0.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9960784314,0,0.04,0,0.96,1,0,1,0,1,0,0,1,0,0,0.06,0,0.94,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13,0,0.87,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3294117647,0,0.02,0,0.95,1,0.01,1,0,1,0,0,0.69,0,0,0.01,0,0.64,1,0
