0,1,2,3,4,5,6,7,8,class
0.0114942529,0.3897280967,0.5897435897,0.9767054908,0.1589958159,0.1240845654,0.8666666667,0.8669438669,0.75,0
0.0689655172,0.3918860596,0.1794871795,0.9767054908,0.1757322176,0.1249136382,0.6333333333,0.817047817,0.7416666667,0
0.1494252874,0.3940440224,0.1025641026,0.9767054908,0.1841004184,0.1239463866,0.5222222222,0.8004158004,0.7458333333,0
0.091954023,0.3923176521,0.1538461538,0.9767054908,0.179916318,0.1264336051,0.6,0.8087318087,0.7416666667,0
0.1149425287,0.3918860596,0.2820512821,0.9733777038,0.1841004184,0.1250518171,0.6333333333,0.814968815,0.7416666667,0
0.1149425287,0.3936124299,0.3333333333,0.9767054908,0.179916318,0.1214591682,0.6555555556,0.8232848233,0.7458333333,0
0.1609195402,0.3897280967,0.0769230769,0.9767054908,0.1924686192,0.1240845654,0.5,0.7920997921,0.7458333333,0
0.1034482759,0.3927492447,0.4871794872,0.9717138103,0.179916318,0.1240845654,0.7333333333,0.8357588358,0.7416666667,0
0.2298850575,0.3923176521,0.5384615385,0.9767054908,0.2050209205,0.1254663535,0.6333333333,0.814968815,0.7416666667,0
0.0114942529,0.3918860596,0.0769230769,0.9767054908,0.1380753138,0.1253281747,0.6444444444,0.8461538462,0.7708333333,0
0.0689655172,0.3931808373,0.1025641026,0.9650582363,0.1757322176,0.1240845654,0.6,0.8108108108,0.7458333333,0
0.0344827586,0.3905912818,0.0769230769,0.9717138103,0.1673640167,0.1240845654,0.6222222222,0.814968815,0.7416666667,0
0.1149425287,0.3927492447,0.2307692308,0.9767054908,0.179916318,0.1206300953,0.6111111111,0.814968815,0.7458333333,0
0.1034482759,0.3918860596,0.4871794872,0.9767054908,0.179916318,0.122979135,0.7333333333,0.8378378378,0.7458333333,0
0.4482758621,0.3918860596,0.1538461538,0.9833610649,0,0.1240845654,0.2555555556,0.9916839917,0.9916666667,1
0.091954023,0.3918860596,0.1538461538,0.9833610649,0.179916318,0.1244991018,0.6,0.8087318087,0.7416666667,0
0.091954023,0.3918860596,0.0512820513,0.9767054908,0.179916318,0.1249136382,0.5555555556,0.8004158004,0.7416666667,0
0.0114942529,0.3918860596,0.1025641026,0.9767054908,0.1129707113,0.1232554926,0.6666666667,0.869022869,0.7916666667,0
0.0574712644,0.3918860596,0.2307692308,0.9816971714,0.1757322176,0.1278153931,0.6666666667,0.8212058212,0.7416666667,0
0.0114942529,0.3918860596,0.1538461538,0.9833610649,0.1464435146,0.1240845654,0.6777777778,0.841995842,0.7583333333,0
0.7586206897,0.3918860596,0.7435897436,0.9767054908,0.2384937238,0.1258808899,0.2111111111,0.7983367983,0.8041666667,1
0.2298850575,0.3918860596,0.3846153846,0.9767054908,0.2050209205,0.1244991018,0.5666666667,0.8004158004,0.7416666667,0
0.2298850575,0.3931808373,0.1282051282,0.9767054908,0.2050209205,0.1244991018,0.4555555556,0.7817047817,0.7416666667,0
0.7931034483,0.3918860596,0.8205128205,0.9900166389,0.2343096234,0.1240845654,0.2222222222,0.8087318087,0.8125,1
0.0114942529,0.3918860596,0.5897435897,0.9667221298,0.1422594142,0.1233936714,0.8666666667,0.8814968815,0.7666666667,0
0.2183908046,0.3918860596,0.4871794872,0.9783693844,0.2008368201,0.1240845654,0.6222222222,0.814968815,0.7458333333,0
0.0804597701,0.3918860596,0.3333333333,0.9900166389,0.1757322176,0.1233936714,0.6888888889,0.8295218295,0.7458333333,0
0.2298850575,0.391454467,0.1794871795,0.9800332779,0.2008368201,0.1225645986,0.4777777778,0.7879417879,0.7458333333,0
0.1034482759,0.3918860596,0.8205128205,0.9767054908,0.1841004184,0.1260190687,0.8777777778,0.8586278586,0.7416666667,0
0.1494252874,0.3918860596,0.3846153846,0.9767054908,0.1924686192,0.1265717839,0.6444444444,0.817047817,0.7416666667,0
0.183908046,0.3910228744,0.1794871795,0.9767054908,0.2008368201,0.1283681083,0.5222222222,0.79002079,0.7416666667,0
0.183908046,0.391454467,0.3076923077,0.9767054908,0.1966527197,0.1240845654,0.5777777778,0.8066528067,0.7416666667,0
0.0114942529,0.391454467,0.0512820513,0.9700499168,0.1506276151,0.1231173138,0.6444444444,0.8274428274,0.7541666667,0
0.0114942529,0.3918860596,0.0512820513,0.9866888519,0.1589958159,0.1213209894,0.6333333333,0.8232848233,0.75,0
0.0344827586,0.3910228744,0.1282051282,0.9767054908,0.1673640167,0.1240845654,0.6444444444,0.8191268191,0.7416666667,0
0.1494252874,0.3910228744,0.358974359,0.9767054908,0.1924686192,0.1244991018,0.6444444444,0.814968815,0.7416666667,0
0.1149425287,0.3931808373,0.8717948718,0.9767054908,0.1841004184,0.1256045323,0.8888888889,0.8607068607,0.7416666667,0
0.1724137931,0.3923176521,0.1794871795,0.9767054908,0.1924686192,0.1235318502,0.5333333333,0.8004158004,0.7458333333,0
0.0689655172,0.3918860596,0.3076923077,0.9683860233,0.1757322176,0.1240845654,0.7,0.8274428274,0.7416666667,0
0.1149425287,0.3936124299,0.0512820513,0.9700499168,0.1841004184,0.1240845654,0.5222222222,0.7941787942,0.7416666667,0
0.1609195402,0.3927492447,0.3076923077,0.9767054908,0.1924686192,0.1240845654,0.6,0.8108108108,0.7416666667,0
0.1264367816,0.3918860596,0.1282051282,0.9767054908,0.1841004184,0.1240845654,0.5555555556,0.8024948025,0.7416666667,0
0.0114942529,0.3918860596,0.0512820513,0.9767054908,0.1255230126,0.1225645986,0.6444444444,0.8544698545,0.7791666667,0
