0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,class
0.0829493088,0.018907563,0.1235294118,0,0.082,0.1008403361,0,0.0324032403,0.0513307985,0.2255225523,0.0344827586,0.1313340228,0.0810810811,0,0.2879818594,0.059,0.0378151261,0.3153153153,0.1456,0,0.2547254725,0,0.0165137615,0.0276923077,0,0,0,0,0,0,0,0,0,0,0,0.0117035111,0,0,0,0.018907563,0,0,0,0,0,0,0,0,0,0.0191396627,0,0.0188127348,0.0023321672,0,0.0024575579,0.0571947345,0.0953940188,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2232357177,0.1392557023,0.0696069607,0.2552255226,0.232,0.3945578231,0.1856,0.487394958,0,0.487394958,0.116,0.3016905072,0,0,0,0.487394958,0,0,0,0,0,0.1389221557,0,0,0,0.1311351146,0,0,0,0,0.002098956,0.0045392646,0.0056756167,0
0,0,0.0705882353,0,0,0,0,0,0.0684410646,0,0,0,0,0,0,0,0,0.0540540541,0.0981333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447223801,0,0,0,0,0.0002514753,0.0009078529,0.0074219603,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4570331253,0.2857142857,0.1428142814,0.5236523652,0.476,0.8095238095,0.3808,1,0,1,0.238,0.6189856957,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2382035247,0,0,0,0,0.0021180209,0.0045392646,0.0031652478,0
0,0,0,0,0,0,0,0,0,0,0,0.0517063082,0,0,0,0,0,0.0750750751,0.08,0,0.0450045005,0,0,0,0.0964954393,0.0900360144,0.0300030003,0.1100110011,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.0466853408,0,0,0,0,0.0318362706,0.0205831904,0.0025863662,0,0.0084724394,0.0011829324,0.0063549705,0.0139707487,0
0,0,0,0,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2314666667,0,0.195319532,0,0,0,0,0,0.0651065107,0,0,0,0,0,0,0,0,0,0,0,0.3906390639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007640253,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.0037348273,0,0,0,0,0.4288421452,0,0,0,0,0.0019509759,0.0036314117,0.1428727352,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600060006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004365859,0
0,0.012605042,0.1411764706,0,0.018,0,0,0,0,0,0,0.0558428128,0,0,0,0,0,0.027027027,0.048,0,0.0162016202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324032403,0,0,0,0,0,0.0084033613,0.0323353293,0,0,0,0.0335417851,0.0144572409,0.0045569308,0.0048309179,0,0.0005447118,0.0077167499,0.027832351,0
