0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,class
0.7588932806,0.230125523,0,0.3333333233,0,0.0475285777,0.0014527727,0.020512802,0.0005843066,0.6630519454,0.5883306612,0.7871870487,0.6024941083,0.1063433258,0.8829787234,0.110891121,0.7871870487,0.32066384,0.1314841209,0
0.2292490119,0.3179916318,0,0,0.5,0.382129305,0.0855865637,0.3051281863,0.067365937,0.1192873701,0.089141004,0.1553755548,0.1098986739,0.5876865697,0.329787234,0.5267326911,0.1553755548,0.65204316,0.1007170672,0
0.8023715415,0.6066945607,0,0,0,0.0171102771,0.0002812152,0.0461538383,0.0005365573,0.1652465791,0.1264181582,0.1686303412,0.1987529213,0.5130597301,0.1832151309,0.851485172,0.1877761444,0.38903406,0.9919781852,0
0.95256917,0.1924686192,0,0,0.5,0.0836501784,0.002373534,0.2141025758,0.0026551779,0.1071520792,0.0826580209,0.1384388871,0.0974279011,0.6305970239,0.3037825,0.5247524915,0.1384388871,0.46630767,0.1087239181,0
0.3833992095,0.4518828452,0,0.6666666467,0,0.0494296686,0.0005228486,0.0589743618,0.0053727406,0.150529306,0.1555915782,0.1811487512,0.1130163566,0.8208955245,0.3108746915,0.3108910996,0.1811487512,0.40821064,0.2422785363,1
0.209486166,0.510460251,0,0,0,0.1501901344,0.00171935,0.0294871694,0.0011723269,0.1494965228,0.1450567354,0.1708394767,0.1309431074,0.7555970218,0.2659574468,0.4554455712,0.1708394767,0.27027062,0.1874751732,0
0.347826087,0.2384937238,0,0,0,0.138783291,0.0030661313,0.0551282002,0.0011721686,0.1234185375,0.1288492814,0.1524300431,0.0872954026,0.8320895545,0.2966903085,0.3227722937,0.1524300431,0.46200204,0.2448070129,1
0.3913043478,0.4184100418,0,0,0,0.0551330681,0.0009149849,0.0371794788,0.0007873843,0.1389104102,0.1442463634,0.1649484598,0.1060015548,0.8264925396,0.2860520106,0.3465346641,0.1649484598,0.39170122,0.2418601518,1
0.1067193676,0.7405857741,0,0,0,0.0494296481,0.0015087907,0.117948719,0.018284431,0.2088820103,0.1961102204,0.2415316529,0.1862821415,0.6791044873,0.3345153723,0.4217822028,0.2415316529,0.2758629,0.1571497851,0
0.5928853755,0.5523012552,0,0,0,0.0133079789,6.34887282518909E-005,0.0115384596,3.206542340047E-005,0.0395042603,0.055105347,0.0427098688,0.0210444265,0.9291044747,0.1524822691,0.4613861593,0.0500736356,0.60119045,0.3742117526,1
0.0830039526,0.1924686192,0,0,0,0.0304182239,0.0007469276,0.0153845866,0.0004702934,0.8791634935,0.8444084509,0.9307805233,0.8565861268,0.3134328506,0.585106383,0.3900990305,0.9307805233,0.17560509,0.1100903316,0
0.3794466403,0.4811715481,0,0,0,0.0361216726,0.000377198,0.0230769261,0.0008123246,0.0451846136,0.0559157205,0.0530191454,0.0265003883,0.8936567179,0.1761229287,0.4594059633,0.0552282809,0.5515873,0.3200220414,1
0.0750988142,0.7447698745,0,0,0,0.0589353869,0.0017664819,0.0615384711,0.0036768418,0.2378001545,0.2196110147,0.2835051673,0.2065471526,0.6324626936,0.4042553191,0.354455466,0.2835051673,0.30988368,0.163777907,0
0.5454545455,0.0209205021,0,0,0,0.0228136903,0.0003585282,0.0217949499,6.05684508906339E-005,0.9788278305,0.9821718313,0.9933726068,0.9586905625,0.5447761491,0.4302600532,0.4039604206,0.9933726068,0.101526454,0.1319575197,0
0.3241106719,0.2928870293,0,0,0,0.0152090893,0.0003471399,0.0166666482,0.0003748596,0.4144074389,0.3784440954,0.4933725737,0.3647700588,0.4533582315,0.6063829787,0.2059406024,0.4933725737,0.30741948,0.1545712711,0
0.2806324111,0.9372384937,0,0.3333333233,0,0.0969581607,0.0017626119,0.1217948807,0.0030176741,0.105086499,0.08752026,0.0994108976,0.1278253966,0.6791044873,0.1252955083,0.772277259,0.1207658231,0.34748083,0.9449246363,0
0.3280632411,0.2259414226,0,0,0,0.0247148018,0.0003771954,0.0461538476,0.0006840606,0.8760650744,0.8411669631,0.9388807221,0.8417770587,0.3134328506,0.6382978723,0.3009901194,0.9388807221,0.18565786,0.1250661697,0
0.814229249,0.6736401674,0,0,0,0.0342205474,0.0003006324,0.0384615543,0.0008839831,0.132455465,0.1199351752,0.1082474263,0.1699142496,0.7052238887,0.0425531915,0.8831683443,0.1605301822,0.34374964,0.8602078251,0
0.7707509881,0.9748953975,0,0,0,0.0437262452,0.0005564602,0.0833333426,0.0066874243,0.0539633394,0.0486223655,0.0463917522,0.0670303915,0.7798507484,0.1040189117,0.7009901248,0.06332842,0.3833719,0.903519616,0
0.3833992095,0.4016736402,0,0,0,0.1596958185,0.0037645095,0.0910256497,0.0164780738,0.0606764821,0.035656403,0.0964653859,0.046765391,0.6417910423,0.3144207979,0.4950495277,0.0964653859,0.69722587,0.1239860459,0
0.0671936759,0.4686192469,0,0,0,0.0247148316,0.0008701692,0.0141025643,0.0004025994,0.0074877353,0.0008103728,0.0176730487,0.0031176928,0.785447766,0.1784869968,0.5702970522,0.0176730487,0.9814815,0.1427013983,0
0.1027667984,0.1631799163,0,0,0,0.0361216795,0.0004668293,0.023076933,0.0004702933,0.1605990236,0.1580226869,0.1988217953,0.1223694467,0.7649253788,0.3498818085,0.3049504937,0.1988217953,0.41874644,0.214899014,1
0.6324110672,0.2594142259,0,0,0,0.0285171103,0.0005097453,0.0141025396,0.0003748595,0.3057061814,0.3136142651,0.3232695263,0.2790335221,0.7910447786,0.2848699787,0.3861386384,0.3232695263,0.18437627,0.2184101712,0
0.5296442688,0.8368200837,0,0,0,0.0646387727,0.0013388533,0.0499999931,0.0011061412,0.1252259272,0.1053484652,0.1082474263,0.1621200183,0.6567164337,0.075650117,0.8792079522,0.1531664127,0.37555233,0.9013194195,0
0.3913043478,0.4728033473,0,0,0,0.0095057001,6.34887282518909E-005,0.0230769224,0.0004275392,0.049315779,0.059967584,0.058173786,0.0296180822,0.8917910448,0.1820330957,0.4514851791,0.0596465386,0.5311728,0.3134508906,1
0.5454545455,0.460251046,0,0,0,0.0361216726,0.0004220138,0.0269230762,0.0008016365,0.025819778,0.0056726096,0.0515463909,0.017926734,0.6865671662,0.2576832128,0.5425742791,0.0515463909,0.9074074,0.1119460357,0
0.2134387352,0.8284518828,0,0.3333333233,0,0.0627376372,0.0013061074,0.032051281,0.00096018,0.0872708486,0.0753646732,0.0684830672,0.1184723346,0.7238806061,0.0579196245,0.8376237819,0.1119293143,0.40790388,0.8628002234,0
0.2608695652,0.2217573222,0,0,0,0.072243335,0.0021362098,0.0551282094,0.0033098691,0.1567260606,0.1604538101,0.1914580325,0.1161340533,0.809701496,0.3321512872,0.2871287115,0.1914580325,0.42692268,0.2343986686,1
0.7193675889,0.280334728,0,0,0,0.0361217342,0.0003323842,0.0179487375,0.0012256187,0.9450039332,0.9384117013,0.9742267969,0.9189399558,0.4869403203,0.4929077872,0.3603960542,0.9742267969,0.124646865,0.1331988564,0
0.6363636364,0.0125523013,0,0,0,0.0323194223,0.0005384893,0.0141026139,0.0006852323,0.78595406,0.7220421452,0.8659793972,0.7614965,0.141791101,0.699763617,0.3801980503,0.8659793972,0.24229442,0.1022534326,0
0.1581027668,0.5815899582,0,0,0,0.0608365121,0.0019569466,0.0500000023,0.0014429443,0.1445907558,0.1183144313,0.1936671481,0.1176929122,0.6063433006,0.3983451596,0.3920792265,0.1936671481,0.44157267,0.1484936959,0
